anime_id,source_type,score,popularity_rank,members_count,favorites_count,total_count,emotion
31765,Original,7.59,247,631928,3333,631928,joy
31722,Manga,7.02,248,625346,748,625346,joy
11633,Manga,7.27,249,622049,1917,622049,surprise
34902,4-koma manga,7.57,250,623170,2423,623170,joy
36896,Manga,7.61,251,622852,1300,622852,joy
40776,Manga,8.54,252,621748,5234,621748,fear
2993,Manga,6.76,253,619152,3217,619152,love
36949,Manga,7.99,254,617789,1365,617789,anger
38040,Light novel,8.46,255,615083,4194,615083,fear
339,Original,8.02,256,612835,20865,612835,sadness
27787,Manga,7.36,257,613215,1724,613215,sadness
37105,Manga,8.36,258,612974,15307,612974,joy
28825,Manga,7.08,259,610904,4198,610904,joy
7791,4-koma manga,8.12,260,608933,13266,608933,joy
42361,Manga,7.32,261,609613,7884,609613,sadness
32951,Light novel,7.14,262,609896,2908,609896,joy
39597,Light novel,7.58,263,608963,3229,608963,fear
1818,Manga,7.71,264,606137,7717,606137,anger
37982,Manga,6.68,265,607662,4938,607662,anger
43299,Original,7.74,266,605776,8158,605776,anger
39701,Manga,6.34,267,605359,1334,605359,joy
32998,Original,7.81,268,605085,6705,605085,sadness
2476,Visual novel,5.54,269,598619,2915,598619,fear
17074,Light novel,8.73,269,598734,21978,598734,fear
37210,Light novel,6.87,271,597815,2287,597815,sadness
1887,4-koma manga,7.58,272,591690,10966,591690,joy
32949,Manga,7.14,273,590744,5708,590744,joy
31646,Manga,8.31,274,589074,13811,589074,sadness
23233,Light novel,6.72,275,587861,1801,587861,joy
22789,Web manga,8.36,276,586770,11754,586770,anger
6347,Light novel,7.51,277,585342,5421,585342,anger
23281,Original,7.39,278,585150,1343,585150,anger
16742,Web manga,6.96,279,583094,4783,583094,sadness
392,Manga,8.38,280,583695,19233,583695,joy
30544,Light novel,6.82,281,582740,2088,582740,anger
14289,Manga,7.43,282,581074,4473,581074,anger
28297,Manga,7.86,283,582492,4437,582492,joy
22147,Light novel,7.46,284,581242,2418,581242,joy
8841,Light novel,7.35,285,579250,3021,579250,fear
9041,Light novel,6.65,286,578510,2178,578510,joy
39547,Light novel,8.37,287,579980,12123,579980,anger
18277,Light novel,7.03,288,577745,2140,577745,joy
34618,4-koma manga,7.28,289,577156,2814,577156,fear
40956,Manga,7.75,290,576552,2227,576552,joy
30123,Manga,7.75,291,576703,6413,576703,joy
40496,Light novel,7.35,292,574190,4570,574190,joy
8525,Manga,7.66,293,571837,5437,571837,fear
3455,Manga,6.96,294,569313,3798,569313,anger
34280,Light novel,6.78,295,569980,2007,569980,joy
48926,Manga,8.07,296,568285,9375,568285,joy
23277,Light novel,7.46,297,568656,3898,568656,joy
37141,Manga,7.54,298,565913,2082,565913,joy
7674,Manga,8.15,299,561280,8946,561280,joy
28497,Light novel,7.28,300,562837,2409,562837,joy
790,Original,7.84,301,560919,11700,560919,sadness
38329,Light novel,8.62,302,561518,8782,561518,joy
578,Novel,8.51,303,559847,6488,559847,sadness
33489,Original,7.77,304,559943,6680,559943,joy
225,Manga,6.45,305,558460,1669,558460,anger
41389,Manga,7.91,306,557330,8367,557330,joy
527,Game,7.33,307,556266,4561,556266,surprise
14713,Manga,8.08,308,553911,12214,553911,sadness
23321,Light novel,7.58,309,553857,1375,553857,fear
7311,Light novel,8.58,310,551663,12382,551663,anger
3457,Manga,6.92,311,550834,7039,550834,sadness
19163,Light novel,7.23,312,550209,2052,550209,fear
14075,Manga,7.88,313,546342,6310,546342,anger
16067,Original,7.91,314,545668,9093,545668,anger
35994,Game,6.89,315,547400,4574,547400,sadness
11499,Manga,7.3,316,545221,2391,545221,fear
34542,Manga,7.63,317,546699,3269,546699,anger
6213,Manga,7.7,318,542632,5459,542632,fear
17729,Visual novel,7.48,319,542138,4091,542138,sadness
43,Manga,8.29,320,542639,10915,542639,fear
437,Novel,8.52,321,542620,14114,542620,joy
9513,Manga,7.77,322,535157,4927,535157,anger
39783,Manga,8.12,323,536179,10120,536179,joy
7724,Manga,7.7,324,533457,7446,533457,joy
45576,Light novel,8.74,325,531102,12785,531102,joy
877,Manga,8.38,326,530577,22125,530577,fear
36882,Light novel,6.59,327,532376,5261,532376,fear
36475,Light novel,6.95,328,530150,1353,530150,fear
15315,Light novel,7.48,329,526755,3578,526755,surprise
11577,Visual novel,8.44,330,524233,2338,524233,fear
31580,Manga,7.36,331,523903,2871,523903,fear
7593,Manga,6.62,332,520539,1638,520539,anger
33,Manga,8.49,333,521120,21372,521120,fear
5630,Original,7.77,334,519021,4032,519021,joy
28977,Manga,8.78,335,517627,13736,517627,joy
34612,Manga,8.41,336,518186,3674,518186,sadness
2034,Manga,8.0,336,515029,8830,515029,surprise
1604,Manga,7.98,338,512323,15235,512323,sadness
136,Manga,8.35,339,510848,9366,510848,fear
6707,Manga,7.18,340,510140,3082,510140,joy
6594,Light novel,8.26,341,507870,10240,507870,joy
39940,Manga,7.75,342,508223,1227,508223,anger
25183,Manga,7.4,343,507847,3193,507847,anger
40052,Original,8.21,344,506540,8035,506540,sadness
41487,Manga,8.32,345,503968,9146,503968,joy
355,Light novel,7.44,346,500587,4865,500587,fear
16870,Manga,7.8,347,498373,1768,498373,joy
15689,Light novel,7.94,348,495555,1123,495555,fear
25397,Light novel,6.45,349,496125,1389,496125,anger
27631,Game,7.15,350,495730,1808,495730,fear
35860,Manga,7.68,351,496557,4485,496557,joy
120,Manga,7.66,352,493642,8647,493642,fear
38659,Light novel,7.47,353,491547,1787,491547,joy
14749,Light novel,6.95,354,489886,1660,489886,anger
48736,Manga,8.35,355,486442,8136,485897,anger
8425,Light novel,7.99,356,486167,7579,486167,joy
14967,Light novel,7.32,357,484789,1129,484789,sadness
31637,Light novel,7.72,358,484813,1712,484813,anger
31339,Manga,7.87,359,484716,3410,484716,fear
4382,Light novel,7.23,360,478602,2009,478602,fear
41457,Light novel,8.17,361,480757,9451,480757,anger
512,Novel,8.23,362,478477,4300,478477,joy
40540,Light novel,7.41,363,477235,2819,477235,sadness
40938,Light novel,7.31,364,476569,5443,476569,anger
5681,Original,8.05,365,474470,3643,474470,joy
22729,Original,7.39,366,474526,3332,474526,fear
4081,Manga,8.28,367,473845,14154,473845,anger
2759,Original,8.03,368,473817,1593,473817,fear
31442,Light novel,6.82,369,474051,1166,474051,anger
38003,Manga,8.21,370,471677,3990,471677,joy
2890,Original,7.92,371,469955,2931,469955,fear
263,Manga,8.67,372,467106,17063,467106,fear
7088,Light novel,6.78,373,465985,1107,465985,joy
36407,Light novel,6.58,374,465330,2414,465330,joy
34822,Original,8.06,375,462897,7128,462897,joy
1840,Light novel,7.44,376,461080,1217,461080,fear
39534,Manga,7.83,377,462556,9614,462556,love
11013,Manga,7.38,378,460490,3084,460490,fear
31404,Light novel,6.72,379,461838,1014,461838,sadness
9260,Light novel,8.37,380,457852,3038,457852,fear
40454,Light novel,7.44,381,455955,1645,455955,fear
9969,Manga,8.89,382,455555,6782,455555,surprise
3784,Original,8.32,383,455262,3083,455262,fear
40750,Light novel,6.2,384,454204,4787,454204,joy
71,Light novel,7.6,385,451409,4144,451409,fear
32105,Manga,7.19,386,449519,2692,449519,joy
1943,Novel,8.04,387,447022,3644,447022,fear
35203,Light novel,6.09,388,447622,2341,447622,love
10110,Light novel,7.25,389,445870,1771,445870,joy
1519,Manga,8.17,390,446138,2668,446138,sadness
8675,4-koma manga,7.53,391,445471,3100,445471,fear
39565,Manga,8.05,392,447086,1663,447086,joy
10162,Manga,8.35,393,444900,5816,444900,anger
34403,Manga,6.26,394,446157,1236,446157,joy
39533,Manga,8.35,395,446426,14373,446426,fear
36563,Original,7.88,396,444447,3019,444447,anger
5341,Light novel,8.31,397,443531,4060,443531,joy
59,Manga,7.37,398,442201,3487,442201,sadness
45,Manga,8.25,399,442018,9364,442018,joy
34382,Manga,6.43,400,442743,3344,442743,anger
38656,Manga,7.21,401,442058,1999,442058,joy
16011,Light novel,7.41,402,439051,1904,439051,anger
23199,Light novel,7.99,403,438962,925,438962,fear
8861,Visual novel,6.1,404,436978,2051,436978,sadness
5958,Manga,7.27,405,436821,3711,436821,joy
1889,Visual novel,8.15,406,436927,6804,436927,sadness
25781,Visual novel,8.42,407,433231,1726,433231,joy
36296,Manga,8.14,408,431513,3859,431513,joy
34881,4-koma manga,6.75,409,427608,1005,427608,sadness
34561,Original,7.45,410,427083,3066,427083,fear
35839,Original,8.5,411,426481,12346,426481,joy
31181,Light novel,8.42,412,425738,2623,425738,surprise
14833,Light novel,7.23,413,424090,1272,424090,anger
31741,Manga,7.85,414,424246,1421,424246,joy
40902,Manga,7.31,415,423889,1162,423889,anger
37976,Original,7.45,416,422457,2770,422457,sadness
35972,Manga,7.54,417,422401,4485,422401,sadness
42923,Original,8.03,418,420408,10448,420408,joy
1691,Light novel,7.17,420,418814,1899,418814,anger
38668,Manga,8.03,421,419693,6309,419693,sadness
39247,Manga,8.38,422,420068,5331,420068,sadness
8937,Light novel,7.6,423,417415,1700,417415,anger
34281,Light novel,7.23,424,418475,2253,418475,fear
34662,Light novel,7.15,425,417631,2346,417631,joy
34497,Light novel,6.45,426,417055,1574,417055,joy
15225,Light novel,7.17,427,414685,1617,414685,sadness
23673,Manga,7.06,428,414825,1705,414825,joy
21603,Music,7.01,429,413352,3578,413352,fear
513,Original,8.27,430,410204,3508,410204,fear
3712,Light novel,7.36,431,409054,785,409054,joy
15051,Other,7.39,432,408814,7659,408814,anger
10800,Manga,8.13,433,407784,7131,407784,love
237,Original,7.97,434,406311,8743,406311,anger
33731,Manga,7.42,435,405929,2941,405929,anger
28755,Manga,7.44,437,405501,838,405501,joy
37987,Light novel,8.93,437,408436,6059,408436,love
40010,Manga,7.92,438,403624,8592,403624,joy
34798,Manga,8.22,439,403306,8881,403306,sadness
25835,Original,8.19,440,402734,6053,402734,joy
36038,Web manga,7.56,441,402208,2078,402208,sadness
13659,Light novel,6.95,442,401064,1192,401064,anger
31636,Manga,6.55,443,400860,882,400860,joy
6956,4-koma manga,7.63,444,398954,2401,398954,joy
5530,Manga,7.63,445,398897,4993,398897,fear
38790,Light novel,7.52,446,399812,2770,399812,joy
9656,Manga,7.99,447,397837,1371,397837,joy
32093,Web manga,7.8,448,397989,3830,397989,sadness
27989,Novel,7.96,449,397656,6215,397656,anger
24765,Manga,7.59,450,397177,4855,397177,joy
46095,Original,8.43,451,396884,8227,396884,anger
10863,Visual novel,8.29,452,392678,749,392678,anger
39463,Manga,6.93,453,393470,1629,393470,fear
10161,Novel,7.58,454,391449,6912,391449,anger
18397,Manga,7.9,455,393078,804,393078,joy
31758,Light novel,8.78,456,392006,6452,392006,joy
31953,4-koma manga,7.54,457,388595,2711,388595,love
32899,Manga,6.98,458,388846,1667,388846,love
37171,Manga,8.14,459,387345,5159,387345,anger
32887,Light novel,7.02,460,386630,610,386630,joy
232,Manga,8.09,461,385679,11471,385679,joy
21855,Light novel,7.94,462,385106,1033,385106,joy
6573,Original,7.44,463,383641,1438,383641,sadness
4214,Manga,6.93,464,382440,1066,382440,anger
31737,Light novel,7.02,465,383042,720,383042,joy
7785,Novel,8.5,466,381758,16100,381758,sadness
31757,Light novel,8.57,467,382527,2102,382527,sadness
2593,Light novel,7.6,468,379777,2130,379777,surprise
40417,Manga,8.53,469,379141,4836,379141,joy
17549,Manga,7.91,470,378023,5646,378023,joy
11319,Light novel,7.46,471,377855,1134,377855,anger
35557,Manga,8.34,471,378596,10796,378596,surprise
48556,Mixed media,7.2,473,376596,4124,376596,fear
12549,Light novel,6.56,474,375952,776,375952,anger
38483,Light novel,7.32,475,375564,1994,375564,sadness
25159,Light novel,7.06,476,375398,820,375398,joy
28025,Light novel,8.1,477,375373,924,375373,fear
25537,Visual novel,8.19,478,375516,2271,375516,anger
22265,Original,7.63,479,374411,2515,374411,fear
19221,Light novel,7.18,480,374198,1454,374198,sadness
33988,Manga,7.55,481,373211,1411,373211,love
34451,Manga,7.79,482,373596,1461,373596,joy
13161,Light novel,6.76,483,372566,1079,372566,anger
21843,Card game,7.61,484,371369,1585,371369,anger
4063,Manga,7.05,485,370004,1570,370004,sadness
16417,Original,7.36,486,368958,1405,368958,anger
28805,Original,8.27,487,369863,2865,369863,fear
3785,Original,7.63,488,366020,1627,366020,sadness
49926,Manga,8.39,489,367686,2648,367686,fear
38186,Manga,7.27,490,366153,1502,366153,sadness
29095,Visual novel,7.79,491,365653,1992,365653,fear
552,Other,7.77,492,364966,4795,364966,fear
41226,Manga,6.94,493,363309,1403,363309,joy
467,Manga,8.35,494,360442,7983,360442,anger
12445,Manga,7.82,495,360131,4221,360131,fear
10080,Manga,7.89,496,359071,944,359071,fear
27831,Light novel,7.98,497,358371,734,358371,joy
7817,4-koma manga,6.86,498,357730,1458,357730,joy
20031,Manga,7.5,499,355808,2203,355808,joy
32686,Manga,6.85,500,355539,1279,355539,joy
38555,Light novel,7.47,501,355827,2417,355827,joy
22145,Manga,8.08,503,354852,3306,354852,joy
39017,Manga,6.89,504,354831,1005,354831,joy
10790,Light novel,7.51,505,353728,704,353728,joy
20541,4-koma manga,7.38,506,354523,1144,354523,surprise
24405,Manga,7.4,508,353702,2316,353702,fear
6114,Manga,8.42,509,352189,7810,352189,anger
12293,Light novel,6.95,510,351214,1221,351214,anger
34934,Manga,6.5,511,352484,1112,352484,fear
323,Original,7.66,512,350668,4621,350668,fear
11433,Original,7.42,513,349532,1975,349532,surprise
40935,Manga,7.85,514,349956,1986,349956,anger
21405,Manga,7.66,515,348940,2049,348940,anger
150,Original,7.55,516,347765,4114,347765,sadness
481,Manga,7.46,517,347779,3961,347779,fear
20853,Light novel,7.21,518,347103,782,347103,anger
8516,Light novel,7.69,519,346175,1163,346175,anger
16049,Manga,8.08,520,345989,3575,345989,joy
8630,Light novel,6.81,521,345313,863,345313,anger
32380,Light novel,7.86,522,344885,583,344885,joy
30749,Light novel,6.54,523,344878,919,344878,anger
30363,Light novel,6.84,524,344368,517,344368,sadness
35851,Original,8.41,525,343791,5981,343791,sadness
48580,Manga,7.87,526,344302,4673,344302,fear
27833,Light novel,8.06,527,342506,1063,342506,joy
39196,Manga,7.7,528,343563,2809,343563,sadness
48483,Manga,7.45,529,342381,2762,342381,joy
47790,Light novel,7.41,529,341678,3392,341678,joy
41120,Novel,7.51,532,341335,2460,341335,anger
35180,Manga,8.9,532,342537,13742,342537,joy
28249,Manga,7.62,533,341380,1588,341380,anger
33502,Light novel,7.67,534,341036,3919,341036,fear
4752,Manga,7.16,535,339626,2512,339626,sadness
35247,Light novel,8.84,536,339996,7818,339996,fear
8676,Visual novel,7.25,537,338101,2082,338101,sadness
15037,Visual novel,6.5,538,337471,1475,337471,sadness
38472,Original,7.38,539,337985,963,337985,sadness
3470,Manga,7.46,540,336794,2572,336794,joy
8795,Original,7.64,541,336701,4803,336701,anger
12531,Manga,8.29,542,336363,6379,336363,joy
154,Manga,7.73,543,333652,3531,333652,joy
